name,expiration,type,strike,computed_prices
AMZN190315P01725000,2019-03-15,P,1725.00,102.28
AMZN190315C01725000,2019-03-15,C,1725.00,18.15
AMZN190418P01555000,2019-04-18,P,1555.00,47.23
AMZN190418C01555000,2019-04-18,C,1555.00,117.40
AMZN190418P01560000,2019-04-18,P,1560.00,49.11
AMZN190418P01565000,2019-04-18,P,1565.00,48.22
AMZN190418C01565000,2019-04-18,C,1565.00,111.11
AMZN190418C01575000,2019-04-18,C,1575.00,105.57
AMZN190418P01575000,2019-04-18,P,1575.00,52.37
AMZN190418C01585000,2019-04-18,C,1585.00,97.35
AMZN190418P01595000,2019-04-18,P,1595.00,57.93
AMZN190418C01600000,2019-04-18,C,1600.00,92.09
AMZN190418P01600000,2019-04-18,P,1600.00,58.83
AMZN190418P01605000,2019-04-18,P,1605.00,62.31
AMZN190418C01605000,2019-04-18,C,1605.00,106.20
AMZN190418P01615000,2019-04-18,P,1615.00,65.65
AMZN190418P01620000,2019-04-18,P,1620.00,66.56
AMZN190418C01620000,2019-04-18,C,1620.00,79.67
AMZN190418C01625000,2019-04-18,C,1625.00,78.46
AMZN190418P01625000,2019-04-18,P,1625.00,66.70
AMZN190418P01635000,2019-04-18,P,1635.00,72.03
AMZN190418C01635000,2019-04-18,C,1635.00,73.60
AMZN190418C01640000,2019-04-18,C,1640.00,72.62
AMZN190418P01640000,2019-04-18,P,1640.00,72.50
AMZN190418P01645000,2019-04-18,P,1645.00,76.72
AMZN190418C01645000,2019-04-18,C,1645.00,69.39
AMZN190418C01655000,2019-04-18,C,1655.00,65.24
AMZN190418P01655000,2019-04-18,P,1655.00,79.95
AMZN190418P01660000,2019-04-18,P,1660.00,80.01
AMZN190418C01660000,2019-04-18,C,1660.00,63.19
AMZN190418C01665000,2019-04-18,C,1665.00,59.61
AMZN190418P01665000,2019-04-18,P,1665.00,80.31
AMZN190418P01675000,2019-04-18,P,1675.00,84.13
AMZN190418C01675000,2019-04-18,C,1675.00,56.39
AMZN190418P01680000,2019-04-18,P,1680.00,93.78
AMZN190418C01680000,2019-04-18,C,1680.00,55.60
AMZN190418C01685000,2019-04-18,C,1685.00,53.47
AMZN190418P01685000,2019-04-18,P,1685.00,84.22
AMZN190418C01700000,2019-04-18,C,1700.00,46.62
AMZN190418P01700000,2019-04-18,P,1700.00,103.23
AMZN190418P01720000,2019-04-18,P,1720.00,118.23
AMZN190418C01720000,2019-04-18,C,1720.00,41.46
AMZN190418C01725000,2019-04-18,C,1725.00,37.55
AMZN190418P01725000,2019-04-18,P,1725.00,108.76
