,name,delta_analytical,delta_estimated,gamma_analytical,gamma_estimated,vega_analytical,vega_estimated
67,AMZN190418C01575000,0.6633872384091818,0.6633882776441169,0.001762818521346878,-11.368683772161605,264.04951752112976,114.96767172047839
68,AMZN190418C01585000,0.6481317679707997,0.6481332093244419,0.0018553291909173735,-22.73736754432321,268.47445302191187,95.38897330685359
69,AMZN190418C01600000,0.6167403335761252,0.616740862824372,0.001843263360348327,0.0,276.1595615373783,48.88703301730857
70,AMZN190418C01605000,0.5984829984928792,0.5984833251204691,0.0015470047944382583,11.368683772161605,279.76696484113313,19.591699924603745
71,AMZN190418C01620000,0.5796158644219702,0.5796158575321897,0.0019480896444320128,-11.368683772161605,282.8396658526766,16.09086837106588
72,AMZN190418C01625000,0.569446547058565,0.5694477067663684,0.0019292803407125305,-11.368683772161605,284.222205700521,8.976632557278208
73,AMZN190418C01635000,0.549958352546716,0.5499583721757517,0.0019507038051860984,11.368683772161605,286.3401967505515,0.23743780275253812
74,AMZN190418C01640000,0.5403183208244359,0.5403188652053359,0.0019262399886680103,11.368683772161605,287.1309662177374,-2.4886242044885876
75,AMZN190418C01645000,0.5304361997592673,0.5304366368363844,0.0019562093726991996,0.0,287.7657726545193,-3.721739005868585
76,AMZN190418C01655000,0.5109751670034935,0.5109751555210096,0.0019604544929242664,-11.368683772161605,288.4968766009122,-2.7241893008067564
77,AMZN190418C01660000,0.5012599115794458,0.5012594783693203,0.0019617013121096174,-11.368683772161605,288.6046580744597,-0.39175176880235085
78,AMZN190418C01665000,0.49039189999834987,0.4903915851173224,0.002001871178626181,0.0,288.52239232367344,3.6728155805576534
79,AMZN190418C01675000,0.47132868645061976,0.47132971303653903,0.0019823858405102783,0.0,287.86044277687915,14.500106431114546
80,AMZN190418C01680000,0.46281078161887546,0.46281115828605834,0.0019524422825523756,0.0,287.35121067399393,20.736526096243324
81,AMZN190418C01685000,0.45288779015173175,0.4528885710897157,0.0019557892149107306,0.0,286.59131375413534,29.302972279765527
82,AMZN190418C01700000,0.42171493069678423,0.4217156401864486,0.001977099288642919,0.0,283.03145160436804,65.01843841988375
83,AMZN190418C01720000,0.3863970323905851,0.38639768717985135,0.0019070784586097654,-22.73736754432321,276.8241739897996,118.44987255926753
84,AMZN190418C01725000,0.37146462811362785,0.3714649210451171,0.001951743475194639,-22.73736754432321,273.4936503358461,149.43672368872285
